# name,planet_status,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,angular_distance,discovered,updated,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,tconj,tconj_error_min,tconj_error_max,tzero_tr,tzero_tr_error_min,tzero_tr_error_max,tzero_tr_sec,tzero_tr_sec_error_min,tzero_tr_sec_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,impact_parameter,impact_parameter_error_min,impact_parameter_error_max,tzero_vr,tzero_vr_error_min,tzero_vr_error_max,k,k_error_min,k_error_max,temp_calculated,temp_calculated_error_min,temp_calculated_error_max,temp_measured,hot_point_lon,geometric_albedo,geometric_albedo_error_min,geometric_albedo_error_max,log_g,publication,detection_type,mass_detection_type,radius_detection_type,alternate_names,molecules,star_name,ra,dec,mag_v,mag_i,mag_j,mag_h,mag_k,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_sp_type,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max,star_detected_disc,star_magnetic_field,star_alternate_names
2M1207 b,Confirmed,5.0,2.0,2.0,,,,,,,,,,42.0,2.0,19.0,,,,,,,0.877863,2004,2018-12-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,"2MASS J12073346-3932539 b, 2M 1207 b, 2M1207 b, 2M1207B, 2MASS1207-3932 B, 2MASSW J1207334-393254 b, 2M 1207-39 b",,,181.887500011,-39.548333356,,,,,,52.4,1.1,1.1,,,,,,,,,,,,,,,,,,,
2MASS J00413538-5621127 A,Confirmed,30.0,,,,,,,,,,,,,,,,,,,,,,2009,2019-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,,10.3974532026,-56.3535514379,,,,,,34.7133,0.9474,0.9474,,,,,,,,,,,,,,,,,,,
2MASS J00413538-5621127 B,Confirmed,15.0,,,,,,,,,126.0,37.0,86.0,8.9,1.9,3.7,,,,,,,,2010,2019-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,,10.3974532026,-56.3535514379,,,,,,34.7133,0.9474,0.9474,,,,,,,,,,,,,,,,,,,
2MASS J10475385+2124234,Confirmed,42.0,26.0,26.0,,,,,,,,,,,,,,,,,,,,1999,2020-04-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Theoretical,,2MASS J1047+21,,,161.974394017952,21.4065190132152,,,,,,10.56,,,,,,,,,,,,,,,,,,,,,
2MASS J11011926-7732383 A,Confirmed,50.0,,,,,,,,,,,,,,,,,,,,,,2004,2019-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,,165.330275006,-77.5439750192,,,,,,168.0,10.0,10.0,,,,,,,,,,,,,,,,,,,
2MASS J11011926-7732383 B,Confirmed,30.0,,,,,,,,,,,,240.0,,,,,,,,,,2004,2019-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,,165.330275006,-77.5439750192,,,,,,168.0,10.0,10.0,,,,,,,,,,,,,,,,,,,
2MASS J11193254 AB,Confirmed,3.7,0.9,1.2,,,,,,,32850.0,,,,,,,,,,,,,2017,2017-06-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,2MASS J11193254 AB,169.885595844,-11.6296389116,,,,,14.62,,,,,,,,,,,,,L7,0.01,0.003,0.003,,,,,,
2MASS J1155-7919 b,Confirmed,10.0,,,,,,,,,,,,582.0,,,,,,,,,,2020,2020-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,2MASS J1155-7919,178.769,-79.32,14.0,,,,,101.15,0.5,0.5,,,,,,,,,,M3,0.005,,,,,,,,
2MASS J1450-7841 A,Confirmed,40.0,,,,,,,,,,,,300.0,,,,,,,,,,2017,2018-05-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,2MASS J1450-7841 B,222.670833347,-78.693888911,,,,,,75.0,25.0,25.0,,,,0.04,,,,,,M9p,,,,,,,,,
2MASS J1450-7841 B,Confirmed,40.0,,,,,,,,,,,,300.0,,,,,,,,,,2017,2018-05-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,2MASS J1450-7841 A,222.675000014,-78.694722245,,,,,,75.0,,,,,,0.04,,,,,,M8p,,,,,,,,,
2MASS J2250+2325 b,Confirmed,30.0,4.0,11.0,,,,,,,,,,518.0,40.0,40.0,,,,,,,,2017,2018-02-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,2MASS J2250+2325,342.562500005,23.426111127,,,,,,41.5,10.0,10.0,,,,,,,,,,M3,0.15,,,,,,,,
51 Eri b,Confirmed,2.6,0.3,0.3,,,,1.11,0.13,0.16,10260.0,1800.0,6300.0,11.1,1.3,4.2,0.49,0.15,0.15,136.0,11.0,11.0,,2015,2019-10-24,84.0,58.0,58.0,2452014.79,12.0,12.0,,,,,,,,,,,,,,,,,,,,,,700.0,,,,,,,,3.5,Published in a refereed paper,Imaging,Spectrum,,,"CH4, H2O",51 Eri,69.4005514287,-2.47354859817,5.223,,,,,29.4,0.3,0.3,-0.027,,,1.75,0.05,0.05,,,,F0IV,0.02,0.006,0.006,,,,IR Excess,,
AB Dor C b,Confirmed,13.0,1.0,1.0,,,,,,,,,,0.58,,,,,,,,,,2019,2019-11-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,AB Dor C,82.433333348,-65.448333354,,,,,,15.8,,,,,,0.072,0.013,0.013,,,,M8,,,,,,,,,
AB Pic b,Confirmed,13.5,0.5,0.5,,,,,,,,,,275.0,,,,,,,,,5.813953,2005,2010-12-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,AB Pic,94.8,-58.0541667,9.16,,,,,47.3,1.8,1.8,0.04,0.02,0.02,,,,,,,K2 V,0.03,,,5285.0,9.0,10.0,,,
CD-35 2722 b,Confirmed,31.0,8.0,8.0,,,,,,,,,,67.0,4.0,4.0,,,,,,,3.14554,2011,2011-02-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,CD-35 2722,92.3300429231,-35.8253322455,10.98,,,,,21.3,1.4,1.4,0.04,0.5,0.5,0.4,0.05,0.05,,,,M1V,0.1,0.05,0.05,3680.0,100.0,100.0,,,
CFBD 1458 B,Confirmed,10.5,4.5,4.5,,,,,,,,,,,,,,,,,,,,2011,2020-04-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,370.0,40.0,40.0,,,,,,,Published in a refereed paper,Imaging,Spectrum,,CFBDSIR J1458+1013B,,,224.620833343,10.228611125,,,,,,23.1,2.4,2.4,,,,,,,,,,,,,,,,,,,
CFBDS 1458 A,Confirmed,24.1,15.9,15.9,,,,,,,,,,,,,,,,,,,,2010,2018-09-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,"CFBDSIR 1458+10 A, CFBDSIR J1458+1013 A",,,224.620833343,10.228611125,,,,,,23.1,2.4,2.4,,,,,,,,,,,,,,,,,,,
CFBDS0059,Confirmed,22.5,17.5,17.5,,,,,,,,,,,,,,,,,,,,2008,2018-09-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,CFBDS J005910.90-011401.3,,,14.7954291703,-1.23364722714,,,,,,13.0,5.0,5.0,,,,,,,,,,,,,,,,,,,
CFBDSIR J2149-0403 b,Confirmed,21.0,19.0,19.0,,,,,,,,,,,,,,,,,,,,2017,2018-08-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,CFBDSIR J2149-0403,327.446666682,-4.0524722252,,,,,,55.2,5.4,5.4,,,,,,,,,,T7,,,,,,,,,
CHXR 73 b,Confirmed,12.0,5.0,8.0,,,,,,,,,,200.0,,,,,,,,,,2006,2014-05-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,CHXR 73,166.6208333,-77.6258333,,,,11.32,,,,,,,,0.35,0.0,0.0,,,,M3.25,0.002,,,,,,,,
CT Cha b,Confirmed,17.0,6.0,6.0,,,,2.2,0.6,0.6,,,,440.0,,,,,,,,,2.666667,2008,2008-09-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,CT Cha,166.0375,-76.4552778,12.36,,,,,165.0,30.0,30.0,,,,,,,,,,K7,0.002,0.002,0.002,,,,,,
CWISEP J144606.62-231717.8,Confirmed,11.0,9.0,9.0,,,,,,,,,,,,,,,,,,,,2019,2020-10-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,335.0,25.0,25.0,,,,,,,Published in a refereed paper,Imaging,Spectrum,,CW1446,,,221.52758333554,-23.2882777874,,,,,,10.1,1.3,1.7,,,,,,,,,,,,,,,,,,,
CWISEP J1935-1546,Confirmed,11.0,9.0,9.0,,,,,,,,,,,,,,,,,,,,2019,2020-03-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,335.0,,,,,,Published in a refereed paper,Imaging,,,,,,293.827793,-15.7723462,,,,,,10.1,1.3,1.7,,,,,,,,,,,,,,,,,,,
DE0823-49 b,Confirmed,31.5,13.0,13.0,,,,,,,247.75,0.64,0.64,0.36,0.01,0.01,0.36,0.04,0.04,52.2,1.5,1.5,,2013,2015-06-01,41.8,4.9,4.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,1670.0,,,,,,Published in a refereed paper,Imaging,Astrometry,,,,DE0823-49,125.762500001,-48.799722218,,,,,,20.69,0.06,0.06,,,,0.045,0.017,0.017,,,,,0.1,0.02,0.5,2150.0,100.0,100.0,,,
DH Tau b,Confirmed,11.0,0.003,0.01,,,,,,,,,,330.0,,,,,,,,,,2005,2020-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,"CO, H2O",DH Tau,67.425,26.5494444,13.71,,,,,,,,,,,0.37,0.12,0.12,,,,M0.5V,0.001,0.0009,0.0009,,,,,,
FU Tau b,Confirmed,15.0,,,,,,,,,,,,800.0,,,,,,,,,5.714286,2009,2011-09-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,FU Tau,65.8958333,25.0508333,,,,9.95,,140.0,,,,,,0.05,,,,,,M7.25,0.001,,,2838.0,,,,,
Fomalhaut b,Confirmed,0.208,,,,,,,,,320000.0,,,117.0,,,0.11,0.0,0.0,,,,14.92731,2008,2020-07-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,Fomalhaut,344.4125,-29.6222222,1.16,,,,,7.704,0.028,0.028,,,,1.92,0.02,0.02,1.842,0.019,0.019,A3 V,0.44,0.04,0.04,8590.0,73.0,73.0,Imaging,,HD 216956
G 196-3 b,Confirmed,15.0,4.0,30.0,,,,,,,,,,,,,,,,,,,,1998,2018-12-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1870.0,,,,,,Published in a refereed paper,Imaging,,,2MASS J10042148+5023135 b,,G 196-3,151.08942874,50.3870520153,11.75,9.41,8.12,7.47,7.29,21.805,0.0185,0.0185,,,,0.4,0.05,0.05,,,,M2.5,,,,3400.0,100.0,100.0,,,2MASS J10042148+5023135
G204-39 b,Confirmed,29.0,8.0,8.0,,,,,,,,,,2685.0,,,,,,,,,,2010,2019-05-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,,"SDSS J175805.46+463311.9, 2MASS J17580545+4633099",,G204-39,269.462359284,46.5886459515,11.64,,7.85,7.25,7.0,13.9908,0.00693,0.00693,,,,0.36,,,,,,M3,1.0,0.5,0.5,,,,,,"HIP 87938, 2MASS J17575096+4635182"
GJ 229 B,Confirmed,35.0,15.0,15.0,1.61971,0.664,0.664,,,,52890.0,24055.0,19639.0,19.433,6.9,4.7,0.03,0.03,0.2,,,,,1995,2020-01-09,180.0,180.0,180.0,,,,,,,,,,,,,,,,,,,,,,17.06,5.2,1.3,1200.0,1200.0,0.0,,,,,,,Published in a refereed paper,Imaging,Spectrum,,Gliese 229 B,,GJ 229,92.6442305532,-21.8646421676,8.125,,,,,5.757,0.0004,0.0004,,,,0.58,,,,,,M1 V,,,,3564.0,,,,,
GJ 504 b,Confirmed,4.0,1.0,4.5,,,,0.96,0.07,0.07,,,,43.5,,,,,,,,,,2013,2015-12-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,544.0,,,,,3.9,Published in a refereed paper,Imaging,Spectrum,Flux,59 Vir b,CH4,GJ 504,199.1958,9.4242,5.22,,,,,17.56,0.08,0.08,0.27,0.03,0.03,1.22,0.08,0.08,,,,GOV,0.16,0.35,0.06,6291.0,16.0,16.0,,,"e Virginis, HR 5011, 59 Virginis"
GJ 570 D,Confirmed,42.5,4.5,4.5,,,,0.855,0.023,0.023,,,,1500.0,,,,,,,,,,2000,2017-07-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,810.0,10.0,10.0,,,,,,,Published in a refereed paper,Imaging,Theoretical,Theoretical,HR 5568 D,NH3,GJ 570 ABC,224.366666676,-21.415277798,5.64,,,,,5.91,0.06,0.06,0.06,,,0.802,0.04,0.04,,,,K4/M1/M3,,,,4758.0,,,,,HR 5568 ABC
GJ 758 b,Confirmed,37.9,1.5,1.5,,,,,,,109000.0,62000.0,198000.0,33.0,6.0,6.0,0.42,0.2,0.2,52.0,6.0,6.0,3.516129,2009,2019-09-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,741.0,,,,,5.0,Published in a refereed paper,Imaging,Spectrum,,,CH4,GJ 758,290.8916667,33.2219444,6.36,,,,,15.5,,,0.18,0.04,0.04,0.97,,,0.88,,,K0V,8.2,0.5,0.5,5425.0,,,,,"Gliese 758, HR 7368, HD 182488"
GQ Lup b,Confirmed,0.013,0.006,0.006,,,,1.8,,,,,,32.0,2.25,2.25,,,,,,,0.735714,2005,2020-05-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,GQ Lup,237.3,-35.6508333,11.4,,,,,140.0,50.0,50.0,,,,0.7,,,,,,K7eV,0.001,0.001,0.001,,,,Imaging,,
GSC 08047-00232 b,Confirmed,25.0,10.0,10.0,,,,,,,,,,,,,,,,,,,,2003,2018-11-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,,2MASS J01521461-5219332 b,,GSC 08047-00232,28.0609411392,-52.3258848296,,,9.06,8.54,8.45,86.2977,0.298,0.298,,,,0.8,0.1,0.1,,,,K2V,0.03,0.02,0.02,,,,,,2MASS J01521461-5219332
GSC 6214-210 b,Confirmed,17.0,3.0,3.0,,,,,,,,,,320.0,0.0,0.0,,,,,,,2.206897,2010,2014-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,,,GSC 6214-210,245.4791667,-20.7186111,,,,,9.15,145.0,14.0,14.0,,,,0.6,,,,,,M1,0.011,0.002,0.002,,,,,,
GU Psc b,Confirmed,11.0,1.0,1.0,,,,1.35,0.03,0.03,,,,2000.0,200.0,200.0,,,,,,,,2014,2015-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1050.0,,,,,4.5,Published in a refereed paper,Imaging,,,,CH4,GU Psc,18.145833345,17.065555569,13.55,,,,,48.0,5.0,5.0,,,,0.35,,,,,,M3,0.1,0.03,0.03,,,,,,
HD 106906 (AB) b,Confirmed,11.0,2.0,2.0,,,,,,,,,,850.0,260.0,560.0,,,,56.0,21.0,12.0,,2013,2020-12-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,,HD 106906 b,,HD 106906 (AB),184.471630975,-55.9755251461,7.8,,,,,92.0,6.0,6.0,0.04,0.02,0.01,1.5,0.1,0.1,,,,F5V,0.013,0.002,0.002,6798.0,40.0,20.0,Imaging,,
HD 1160 b,Confirmed,20.0,,,,,,,,,,,,80.0,0.0,0.0,,,,,,,0.772947,2012,2020-05-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,HD 1160,3.9875,4.2511111,7.12,,,,,103.5,4.0,4.0,-0.3,,,,,,,,,A0V,0.05,0.04,0.04,,,,,,
HD 118865 B,Confirmed,55.0,13.0,13.0,,,,,,,,,,9200.0,,,,,,,,,,2013,2019-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,,,ULAS J133943.79+010436.4,,HD 118865 A,204.893023601,1.08836844038,7.98,,,6.73,,,,,,,,,,,,,,F8V,3.2,1.7,1.7,,,,,,"HIP 66637, 2MASS J13393431+0105180"
HD 126053 B,Confirmed,35.0,15.0,15.0,,,,0.9,0.1,0.1,,,,2630.0,,,,,,,,,,2012,2019-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,Published in a refereed paper,Imaging,Spectrum,,"BD+01 2920 B, WISE J142320.84+011638.0",,HD 126053 A,215.813686478,1.24156717364,6.27,5.39,5.05,4.81,4.64,17.4385,0.011,0.011,-0.38,0.06,0.06,0.87,0.07,0.07,,,,G1V,8.5,6.0,6.0,5750.0,100.0,100.0,,,"BD+01 2920, HIP 70319, 2MASS J14231528+0114294"
HD 169142 b,Confirmed,2.2,1.2,1.8,,,,,,,,,,36.4,,,,,,,,,,2014,2019-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Published in a refereed paper,Imaging,Theoretical,,,,HD169142,276.124104177,-29.780508082,8.16,,7.31,,,117.0,,,,,,1.65,,,1.6,,,A7V,0.012,,,7650.0,150.0,150.0,Imaging,,
HD 19467 b,Confirmed,52.0,4.3,4.3,,,,,,,,,,51.1,1.0,1.0,,,,,,,,2016,2016-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,978.0,,,,,,Published in a refereed paper,Imaging,Spectrum,,,,HD 19467,46.829166673,-13.761666691,7.0,,,,,30.86,0.6,0.6,-0.15,0.04,0.04,0.95,0.02,0.02,1.15,0.03,0.03,G3V,7.2,2.8,2.8,5680.0,40.0,40.0,,,
